serienavn,maalestasjon
aamot,121.20
aardal,26.20
akslen,2.268
atnasjo,2.32
aulestad,2.28
austenaa,20.2
bagn,12.290
berget,156.10
bjordal,27.16
bjoreio,50.13
bjornegaards,8.2
borgaai,15.53
boyumselv,78.8
bulken,62.5
buvatn,12.150
coarveveij,173.8
dalavatn,109.29
dalsbovatn,91.2
dillfoss,127.13
djupadalsv,35.16
djupevad,42.2
dyrdalsvatn,55.5
eggafoss,122.11
eggedal,12.178
elverum,2.604
engeren,311.460
etna,12.70
fetvatn,97.1
fiskum,12.193
flaam_bru,72.77
fonnerdalsv,46.9
fura,2.323
fustvatn,152.4
garhammerfoss,12.114
gaulfoss,122.9
gjerstad,18.10
gjuvaa,16.132
gjuvvatn,25.24
gloppenelv_bergheim,87.10
groset,16.66
grovaai,16.122
gryta,6.10
halledalsvatn,15.49
halsnes,212.49
haugland,28.7
helleland,27.24
hogfoss,3.22
hoggaas_bru,124.2
holen,50.1
holervatn,12.171
horgheim,103.40
horte,16.193
hovefoss,84.11
hugdalbru,122.17
istreelva,15.174
jogla,26.26
jondalselv,15.21
junkerdalselv,163.5
karpelv,247.3
kjelstad,123.31
kjolemo,22.4
knabaani,25.32
knappom,2.142
kraakfoss,2.279
krinsvatn,133.7
krokenelv,75.23
kvarstadsetra,2.439
kvenna,16.140
lena,2.634
lilleelv,19.107
lislefj,21.47
lombola,223.2
lovatn,88.4
maalselvfossen,196.35
magnor,313.10
manndalen_bru,206.3
masi,212.10
mevatn,148.2
middal,36.9
morsvik_bru,168.2
moska,24.8
myglevatn,22.16
myrkdalsv,62.10
narsjo,2.11
nautsundv,82.4
nervoll,151.15
nessedalselv,79.3
nigardsbrev,76.5
nordmannset,230.1
nybergsund,311.6
orsjoren,15.79
osenelv,105.1
ovrevatn,191.2
ovstevatn,174.3
oye,98.4
oyungen,138.1
polmak,234.18
refsvatn,26.29
reinsnosv,48.5
rinna,112.8
risefoss,109.9
rosten,2.614
roykenes,55.4
saeternbekken,8.6
sandvenvatn,48.1
sinnerdammen,6.71
skarsvatn,162.3
skauvoll,160.7
skjerdalselv,86.12
skogfjordv,200.4
sneisvatn,177.4
sogndalsv,77.3
sogne,22.22
stordalsv,41.1
storeskar,12.215
storholen,103.1
stortorp,2.633
strandaa,165.6
sula,73.27
svartavatn,62.18
svartfossberget,208.3
tannsvatn,16.75
taraldsvikelv,174.11
tingvatn,24.9
tollaaga,161.7
tora,2.291
trangen,139.35
unsetaaa,2.265
urula,12.209
vaekkava,234.13
vassvatn,157.3
veravatn,127.11
viksvatn,83.2
vismunda,2.463
vistdal,104.23
